Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
MT079846,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China,Homo sapiens,,1/22/2020
MT079847,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,China,Homo sapiens,,1/22/2020
MT079848,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29880,China,Homo sapiens,,1/22/2020
MT079849,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29904,China,Homo sapiens,,1/22/2020
MT079850,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29885,China,Homo sapiens,,1/22/2020
MT079851,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,30018,China,Homo sapiens,,1/22/2020
MT079852,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,China,Homo sapiens,,1/22/2020
MT079853,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,China,Homo sapiens,,1/22/2020
MT079854,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,China,Homo sapiens,,1/22/2020
MT472621,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: PA,Homo sapiens,oronasopharynx,3/8/2020
MT472622,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: MD,Homo sapiens,oronasopharynx,3/4/2020
MT472623,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: VT,Homo sapiens,"lung, oronasopharynx",3/5/2020
MT472624,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: FL,Homo sapiens,oronasopharynx,3/6/2020
MT472625,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: PR,Homo sapiens,oronasopharynx,3/8/2020
MT472626,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: IA,Homo sapiens,oronasopharynx,3/7/2020
MT472627,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: DC,Homo sapiens,oronasopharynx,3/8/2020
MT474126,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: CA,Homo sapiens,,3/28/2020
MT474127,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,USA: CA,Homo sapiens,,3/27/2020
MT474128,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: CA,Homo sapiens,,3/27/2020
MT474129,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,USA: CA,Homo sapiens,,3/25/2020
MT474130,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: CA,Homo sapiens,,3/31/2020
MT474131,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,USA: CA,Homo sapiens,,3/31/2020
MT474132,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: CA,Homo sapiens,,4/5/2020
MT474133,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA: CA,Homo sapiens,,4/5/2020
MT474134,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,3/31/2020
MT474135,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens,,3/31/2020
MT474136,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA: CA,Homo sapiens,,3/30/2020
MT474137,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens,,4/8/2020
MT474138,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens,,4/12/2020
MT476384,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,USA: FL,,,2/21/2020
MT476385,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,Bangladesh,Homo sapiens,,4/18/2020
MT358638,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358639,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358640,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358641,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358642,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358643,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT466071,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Uruguay,Homo sapiens,oronasopharynx,3/13/2020
MT466583,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,USA: AK,Homo sapiens,,3/15/2020
MT467237,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/26/2020
MT467238,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467239,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/26/2020
MT467240,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/30/2020
MT467241,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/26/2020
MT467242,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467243,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/30/2020
MT467244,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/30/2020
MT467245,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467246,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467247,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467248,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467249,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467250,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467251,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467252,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467253,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467254,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467255,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/30/2020
MT467256,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467257,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/30/2020
MT467258,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,4/29/2020
MT467259,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Prantij,Homo sapiens,,5/2/2020
MT467260,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Prantij,Homo sapiens,,5/2/2020
MT467261,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Modasa,Homo sapiens,,5/4/2020
MT467262,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Modasa,Homo sapiens,,5/4/2020
MT467263,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Dhansura,Homo sapiens,,5/4/2020
MT470100,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470101,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470102,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470103,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470104,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470105,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470106,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470107,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470108,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470109,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470110,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470111,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470112,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470113,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470114,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470115,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470116,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470117,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470118,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470119,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470120,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470121,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470122,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470123,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470124,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470125,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470126,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470127,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470128,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470129,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470130,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470131,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470132,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470133,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470134,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470135,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470136,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470137,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470138,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470139,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470140,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470141,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470142,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470143,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470144,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470145,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470146,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470147,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470148,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470149,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470150,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470151,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470152,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470153,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470154,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470155,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470156,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470157,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470158,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470159,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470160,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470161,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470162,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470163,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470164,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470165,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470166,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470167,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470168,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470169,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470170,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470171,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470172,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470173,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470174,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470175,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470176,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470177,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470178,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470179,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470219,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Colombia,Homo sapiens,,4/2/2020
MT459832,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/24/2020
MT459833,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/20/2020
MT459834,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/23/2020
MT459835,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/23/2020
MT459836,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/14/2020
MT459837,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/29/2020
MT459838,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/28/2020
MT459839,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/20/2020
MT459840,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/23/2020
MT459841,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/29/2020
MT459842,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/23/2020
MT459843,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/23/2020
MT459844,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/23/2020
MT459845,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/22/2020
MT459846,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/26/2020
MT459847,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Greece: Athens,Homo sapiens,,4/4/2020
MT459848,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/31/2020
MT459849,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/9/2020
MT459850,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/10/2020
MT459851,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/10/2020
MT459852,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/11/2020
MT459853,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/11/2020
MT459854,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/11/2020
MT459855,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/12/2020
MT459856,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/12/2020
MT459857,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/12/2020
MT459858,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/14/2020
MT459859,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/16/2020
MT459860,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/16/2020
MT459861,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/16/2020
MT459862,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Greece: Athens,Homo sapiens,,3/19/2020
MT459863,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/9/2020
MT459864,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/11/2020
MT459865,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/12/2020
MT459866,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/13/2020
MT459867,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/20/2020
MT459868,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/19/2020
MT459869,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/16/2020
MT459870,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/12/2020
MT459871,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/12/2020
MT459872,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/12/2020
MT459873,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/13/2020
MT459874,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/13/2020
MT459875,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,Greece: Athens,Homo sapiens,,3/13/2020
